course_name,host_organization,provider_type,lead_instructor,fee,part_of_program,year_established,duration,format,url,C1,C2,C3,C4,C5,C6,O1,O2,O3,notes,rank,eval_score,o_count,c_count,score_cost,score_audience_fit,score_provider,score_quality,score_recency
Unleash Your Potential: AI Fundamentals,University of Bristol (FutureLearn),university,Seth Bullock,free (free digital upgrade),AI for Collective Intelligence (AI4CI) hub,2026,"4 weeks, ~3 hrs/wk",self-paced video + case studies,https://www.futurelearn.com/courses/unleash-your-potential-ai-fundamentals,Y,Y,Y,Y,Y,N,Y,Y,N,"Feb 2026 launch; interdisciplinary contributors (law, cyber, medicine)",18,78.7,2,5,14,12,9,2,5
Introduction to AI Literacy,Acadia University (Open Acadia),university,Daniel Lametti,free (certificate included),Open Acadia continuing education,2026,~2.5 hrs,self-paced module,https://explore.acadiau.ca/product?catalog=AI-Literacy,Y,Y,N,Y,Y,N,Y,Y,N,Cognitive-science angle on over-reliance supports O2; 5k+ enrollments in 2 weeks,19,77.3,2,4,15,12,8,4,5
"AI Ethics, Inclusion & Society",University of Glasgow (FutureLearn),university,Ciorsdaidh Watts,free tier; upgrade $54,Glasgow free online courses,2025,"3 weeks, 5 hrs/wk",self-paced online,https://www.futurelearn.com/courses/ai-ethics-inclusion-and-society,Y,Y,Y,Y,Y,Y,N,Y,Y,Ethics-first framing; weak O1; found by two gap tracks independently,20,77.0,2,6,14,10,7,2,4
Foundations of Generative AI,Georgia Institute of Technology (edX),university,David Joyner,audit free; cert $90,none,2025,"3 weeks, 2-3 hrs/wk",self-paced video,https://www.edx.org/learn/artificial-intelligence/the-georgia-institute-of-technology-introduction-to-genai,Y,Y,N,Y,Y,Y,Y,Y,N,No prior experience required; clean conceptual how-AI-works coverage,21,76.7,2,5,12,12,9,3,4
How to AI (Almost) Anything (MAS.S60),MIT Media Arts and Sciences (OCW),university,Paul Liang,free (OCW),MIT OCW,2025,"semester, ~26 lectures",self-paced OCW videos + slides,https://ocw.mit.edu/courses/mas-s60-how-to-ai-almost-anything-spring-2025/,Y,Y,Y,Y,Y,Y,Y,Y,N,Graduate pacing caveat; multimodal/frontier coverage; no governance module,22,75.0,2,6,14,6,9,2,4
AI Literacy for Life & Work,"Grand Valley State University, College of Computing",university,Marouane Kessentini,free; optional paid certificate,GVSU community course/certificate,2026,"7 modules, 8-10 hrs",self-paced videos + activities,https://www.gvsu.edu/computing/ai-community-coursecertificate-258,Y,Y,N,Y,Y,N,Y,Y,N,March 2026 launch; dean-led faculty team,23,74.3,2,4,14,12,8,2,5
What Can AI Do for Marketing?,"Emory University, Goizueta Business School (Coursera)",university,David Schweidel,audit free; cert paid,"AI for Marketing Specialization, course 1",2024,~2 weeks,self-paced video,https://www.coursera.org/learn/whatcanaidoformarketing,N,Y,Y,Y,N,N,Y,Y,Y,Marketing-domain intro; Bias in the Machine module; role-specific not general AI 101,24,74.0,3,3,12,7,9,3,3
AI Fundamentals,University of Leeds (FutureLearn),university,Sam Wilson,free; free digital upgrade via Click Start,Click Start (Institute of Coding + Nominet),2024,"2 weeks, 4 hrs/wk",self-paced video + activities,https://www.futurelearn.com/courses/how-to-get-into-ai,Y,Y,N,Y,N,Y,Y,Y,N,Short non-technical on-ramp; free certificate route,25,73.3,2,4,14,12,8,3,3
Generative AI in Education,University of Glasgow (Coursera),university,Gabriella Rodolico,free enrollment; cert paid,none,2024,"~5 hrs, 4 modules",self-paced video,https://www.coursera.org/learn/generative-ai-in-education,Y,Y,Y,Y,Y,N,Y,Y,N,Education-framed; modules 1-3 general GenAI intro; 9.5k learners 4.6/5,26,71.7,2,5,14,7,8,3,3
Artificial Intelligence in National Security,"King's College London, Dept. of War Studies (edX)",university,Kenneth Payne,audit free; cert $249 (audit route qualifies),Professional Certificate in Grand Strategy,2025,5 hrs,self-paced online,https://www.edx.org/learn/social-sciences/kings-college-london-artificial-intelligence-in-national-security,N,Y,Y,Y,N,Y,N,Y,Y,Leading war-studies scholar; autonomy and AI arms-race coverage,27,71.3,2,4,12,10,9,3,4
The AI Awakening: Implications for the Economy and Society,Stanford School of Engineering (Coursera),university,Erik Brynjolfsson,Coursera Plus ~$59/mo (7-day free trial); no free audit,Stanford Online SOE-YCS0028,2024,"~4 hrs, 3 modules",self-paced video,https://www.coursera.org/learn/ai-awakening,Y,Y,Y,Y,N,Y,Y,Y,N,12k enrolled 4.7/5; economy/workforce lens; light on governance,28,70.7,2,5,6,11,10,4,3
"AI Safety, Ethics, and Society",Center for AI Safety (CAIS),nonprofit,Dan Hendrycks,free (application-based cohorts),AI Safety Ethics and Society textbook course,2024,"~13 weeks, ~5 hrs/wk",virtual cohort + capstone,https://www.aisafetybook.com/virtual-course,Y,N,N,Y,Y,Y,N,Y,Y,Non-technical track available; Routledge textbook; natsec framing,29,70.3,2,4,12,10,9,3,3
Introduction to Generative AI (Duke),Duke University (Coursera),university,"Noah Gift, Alfredo Deza",audit free; cert paid,"LLMOps Specialization, course 1",2024,~4 weeks,self-paced video,https://www.coursera.org/learn/intro-gen-ai,Y,Y,Y,Y,N,N,Y,Y,N,30k enrolled 4.5/5; governance thin; later courses developer-oriented,30,70.3,2,4,12,10,8,4,3
"AI, Justice and Rule of Law",UNESCO + University of Oxford,university/intergovernmental,Ignacio Cofone,free,UNESCO AI and Rule of Law initiative,2026,"~18 hrs, 6 modules",self-paced MOOC,https://secure.sbs.ox.ac.uk/corporate/landingPage.do?method=load&corporateGroupId=7948447,N,N,N,Y,Y,Y,N,Y,Y,"For judges/lawyers/policymakers, open globally; Apr 2026 English edition",31,70.0,2,3,15,9,9,2,5
A Human Rights-Based Approach to AI,Global Campus of Human Rights,nonprofit,"Thérèse Murphy, Line G. Rasmussen, Sue Anne Teo",free,GC Human Rights MOOCs,2025,"5 weeks, ~6 hrs",cohort MOOC (materials remain open),https://elearning.gchumanrights.org/courses/course-v1:gchumanrights+HRBAtoAI+2025/about,N,Y,Y,Y,Y,N,N,Y,Y,Strongest civil-rights framing; 2025 edition enrollment closed as of Jul 2026 - monitor for next edition,32,69.3,2,4,12,10,8,2,4
AI Policy and Governance,Purdue University (Purdue Online),university,Daniel Schiff,$99,"Purdue AI Microcredentials, Foundational Non-Technical",2024,"~15 hrs, 5 modules",online asynchronous + Credly badge,https://www.purdue.edu/online/artificial-intelligence-micro-credentials/,N,N,Y,Y,Y,Y,N,Y,Y,Strongest O3-specific university offering; instructor co-directs GRAIL lab,33,69.3,2,4,9,13,9,2,3
Agentic AI and AI Agents: A Primer for Leaders,Vanderbilt University (Coursera),university,Jules White,audit free; cert paid,"Agentic AI and AI Agents for Leaders Specialization, course 1",2025,"~6 hrs, 2 modules",self-paced video + custom GPTs,https://www.coursera.org/learn/agentic-ai,Y,Y,N,N,N,Y,Y,Y,N,118k+ enrolled 4.7/5; agentic-AI-specific scope; complements AI Agent concept anchor,34,69.0,2,3,12,9,9,5,4
Responsible AI Foundations (course series),All Tech Is Human (LinkedIn Learning free),nonprofit,"Renée Cummings (UVA), Rebekah Tweed",free (foundation-funded),Responsible AI Foundations Professional Certificate,2025,"few hrs, 4-5 short courses",self-paced video,https://alltechishuman.org/rai-courses,N,N,N,Y,Y,Y,N,Y,Y,Certificate path added Feb 2026; practitioner-oriented,35,69.0,2,3,14,10,8,3,4
GenAI 101,"Indiana University, Kelley School of Business",university,Brian Williams,free (badge included),Kelley Learn AI initiative,2025,8 modules / 16 lessons,self-paced video + AI tutor,https://kelley.iu.edu/learnAI,N,Y,N,N,Y,N,Y,Y,N,Worldwide April 2026; LinkedIn credential; fact-checking lessons,36,68.7,2,2,15,12,8,3,4
The Future of AI,BlueDot Impact,nonprofit,BlueDot course team,free (certificate),BlueDot AI safety portfolio,2025,"~2 hrs, 4 units",self-paced video + demos,https://bluedot.org/courses/future-of-ai,Y,N,N,Y,N,Y,N,Y,Y,2-hour on-ramp for non-specialists,37,68.0,2,3,14,10,7,3,4
AI Whisperer: Crafting Prompts for Generative AI,"University of South Florida, Bellini College",university,John Licato,free; optional $39 badge,USF Microcredentials,2025,3-4 hrs,self-paced (Canvas Network),https://www.usf.edu/innovative-education/usf-microcredentials/a-microcourse-in-crafting-prompts.aspx,Y,Y,N,N,N,N,Y,Y,N,Shortest commitment; good first course,38,67.7,2,2,14,12,8,3,4
"Demystifying AI, Understanding Risks, and Shaping the Future",Purdue University (Purdue Online),university,David Peterson,$99,"Purdue AI Microcredentials, Foundational Non-Technical",2024,"~15 hrs, 4 modules",online asynchronous + Credly badge,https://www.purdue.edu/online/artificial-intelligence-micro-credentials/,Y,Y,N,Y,N,Y,Y,Y,N,First ABET-recognized AI microcredential series; for professionals/policymakers,39,67.3,2,4,9,12,8,2,3
It's Not Just Business - AI Risks Rewards and Responsibilities,The Alan Turing Institute,nonprofit,"A.E. Jaques, Milo Phillips-Brown",free (CC-BY-4.0),Turing Online Learning Platform (BridgeAI),2024,1-5 hrs,self-paced + open materials,https://www.turing.ac.uk/courses/its-not-just-business-ai-risks-rewards-and-responsibilities,N,Y,N,Y,Y,N,N,Y,Y,UK national AI institute; governance supplement,40,67.0,2,3,14,10,8,2,3
"Trustworthy AI: Managing Bias, Ethics, and Accountability",Johns Hopkins University (Coursera),university,Ian McCulloh,audit free; cert ~$49,JHU AI series,2025,"~2 weeks, 4 modules",self-paced video + assignments,https://www.coursera.org/learn/responsible-ai-and-ethics,Y,N,N,Y,Y,N,N,Y,Y,Case-study driven; listed intermediate but no formal prerequisites,41,67.0,2,3,12,10,8,3,4
"Generative AI: Governance, Policy, and Emerging Regulation",University of Michigan (Coursera),university,Merve Hickok,audit free; cert ~$49,Responsible Generative AI specialization,2024,~3 hrs,self-paced video + readings,https://www.coursera.org/learn/generative-ai-governance-policy-and-emerging-regulation,N,N,N,Y,Y,Y,Y,N,Y,Coursera tags intermediate but content non-technical; CAIDP president instructor,42,66.0,2,3,12,9,9,3,3
Current Issues in Ethics and AI,University of Colorado Boulder (Coursera),university,Bobby Schnabel,Coursera Plus ~$59/mo (7-day free trial); free audit not confirmed,none,2025,3 weeks,self-paced,https://www.coursera.org/learn/current-issues-in-ethics-and-ai,N,N,Y,Y,Y,Y,N,Y,Y,"Former ACM CEO instructor; covers autonomous warfare, policing, privacy",43,64.3,2,4,6,10,9,2,4
AGI Strategy,BlueDot Impact,nonprofit,BlueDot teaching fellows,free / pay-what-you-want,BlueDot AI safety portfolio,2025,~25 hrs (5 weeks),cohort + facilitated discussions,https://bluedot.org/courses/agi-strategy,N,N,N,Y,Y,Y,N,Y,Y,Recruits policy/security/law professionals; application-based,44,64.0,2,3,12,9,7,2,4
Introduction to Generative AI (BUSAI X001),"The Ohio State University, Professional and Continuing Education",university,Jeff Dotson,$49,AI for Business Growth certificate track (OSU AI Fluency Initiative),2025,~10 hrs,online self-paced + OSU certificate,https://reg-continuinged.osu.edu/search/publicCourseSearchDetails.do?method=load&courseId=1260877,Y,Y,N,N,N,N,Y,Y,N,Non-technical; QA-confirmed open registration Jun-Sep 2026; pair with governance course,45,61.7,2,2,10,11,8,2,4
Foundation Models and Generative AI (6.S087),MIT OpenCourseWare,university,Rickard Brüel Gabrielsson,free (no certificate),MIT EECS / OCW,2024,~4-week lecture series,self-paced lecture videos,https://ocw.mit.edu/courses/6-s087-foundation-models-and-generative-ai-january-iap-2024/,Y,Y,N,N,N,Y,Y,N,N,Non-technical lecture series; strongest C1 depth in dataset,46,56.0,1,3,14,10,7,2,3
