number,name,url,result,notes
19,Leadership Insights on Critical Thinking,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/86afed97-1087-5bdb-b48e-35126496bbb7,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
20,(ASSESSMENT) Critical Thinking,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/fe2f37d1-cf69-5524-809d-9edf4a822117,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
21,All other resources,https://gsa.csod.com/GlobalSearch/Search.aspx#q=Critical%20Thinking&s=1&a=typ%3D0%26lng%3D1%26dmin%3D0%26dkey%3D1,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
22,Critical Thinking and Problem Solving,https://www.strategyex.com/explore-our-courses/business-skills/critical-thinking-and-problem-solving,OK (200),env=external. tld=all. Redirected (HEAD) → https://www.kornferry.com
23,Critical Thinking for Clear Writing: An Introduction,https://www.federaltraining.com/courses/written_communication/Critical_Thinking_for_Clear_Writing_training.aspx,FORBIDDEN (403),env=external. tld=all. HEAD returned 403 (server may not support HEAD)
24,Critical Thinking and Problem Solving BMRA,https://bmra.com/course-item/critical-thinking-and-problem-solving/,OK (200),env=external. tld=all
25,"""The FAR Bootcamp Critical Thinking for Acquisition Professionals The Source Selection Bootcamp""",https://www.thefarbootcamp.com/about-the-far-bootcamp/the-far-bootcamp-course,OK (200),env=external. tld=all. Redirected (HEAD) → https://thefarbootcamp.com/about-the-far-bootcamp/the-far-bootcamp-course
26,FHRI HR006: Effective Writing for HR Professionals \- Staffing,https://leadership.opm.gov/programs.aspx?course=262,TIMEOUT,env=external. tld=all. Wall-clock timeout after 8s — server accepted TCP but stalled (likely TLS handshake hang)
27,Design in Government: Problem Framing for Solution Finding,https://leadership.opm.gov/programs.aspx?course=298,TIMEOUT,env=external. tld=all. Wall-clock timeout after 8s — server accepted TCP but stalled (likely TLS handshake hang)
28,FHRI CL004: Writing Position Descriptions,https://leadership.opm.gov/programs.aspx?course=337,TIMEOUT,env=external. tld=all. Wall-clock timeout after 8s — server accepted TCP but stalled (likely TLS handshake hang)
29,Rapport Building in Customer Service,https://share.percipio.com/cd/Pgp2pkfJ4,SERVER ERROR (500),env=external. tld=all. HEAD returned 400; confirming with GET. HEAD=400 vs GET=500
30,Designing a Customer Service Strategy,https://share.percipio.com/cd/GVpHJGZQ4,OK (200),env=external. tld=all. HEAD returned 400; confirming with GET. HEAD=400 vs GET=200
31,Customer Service: Engaging with Customers,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/a6fce37f-d8de-5b46-ad1a-dce93fb953bd,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
32,Customer Service: Discovering Customer Needs,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/2ea972eb-f0f6-5c17-944e-bc065239f1b4,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
33,All other resources,https://gsa.csod.com/GlobalSearch/Search.aspx#q=Customer%20Service&s=1&a=typ%3D0%26lng%3D1%26dmin%3D0%26dkey%3D1,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
34,Customer Service Excellence,https://www.graduateschool.edu/courses/customer-service-excellence,OK (200),env=external. tld=all
35,Effective Communication with Customers,https://www.graduateschool.edu/courses/effective-communication-customers,OK (200),env=external. tld=all. HEAD returned 403 (server may not support HEAD). Redirected (GET) → https://www.graduateschool.edu/courses/effective-communication-with-customers. HEAD=403 vs GET=200
36,Customer Service Skills and Techniques,https://www.managementconcepts.com/course/id/4374,OK (200),env=external. tld=all. Redirected (HEAD) → https://www.managementconcepts.com/product/4374
37,Customer Service Skills for Government Employees,https://www.federaltraining.com/courses/professional_development/Customer_Service_Skills_training.aspx,FORBIDDEN (403),env=external. tld=all. HEAD returned 403 (server may not support HEAD)
38,Build Personal Resilience,https://leadership.opm.gov/programs.aspx?course=323,TIMEOUT,env=external. tld=all. Wall-clock timeout after 8s — server accepted TCP but stalled (likely TLS handshake hang)
39,Conflict Management Skills,https://leadership.opm.gov/programs.aspx?course=44,TIMEOUT,env=external. tld=all. Wall-clock timeout after 8s — server accepted TCP but stalled (likely TLS handshake hang)
40,Decision Making and Problem Solving,https://leadership.opm.gov/programs.aspx?course=350,TIMEOUT,env=external. tld=all. Wall-clock timeout after 8s — server accepted TCP but stalled (likely TLS handshake hang)
41,Emotional Intelligence,https://leadership.opm.gov/programs.aspx?course=181,TIMEOUT,env=external. tld=all. Wall-clock timeout after 8s — server accepted TCP but stalled (likely TLS handshake hang)
42,Leadership Skills for Non-Supervisors,https://leadership.opm.gov/programs.aspx?course=14,TIMEOUT,env=external. tld=all. Wall-clock timeout after 8s — server accepted TCP but stalled (likely TLS handshake hang)
43,All other courses,https://leadership.opm.gov/search.aspx?c=3&sortby=2,TIMEOUT,env=external. tld=all. Wall-clock timeout after 8s — server accepted TCP but stalled (likely TLS handshake hang)
44,Cultivating Relationships with Your Peers,https://share.percipio.com/cd/S7t5nr3qO,SERVER ERROR (500),env=external. tld=all. HEAD returned 400; confirming with GET. HEAD=400 vs GET=500
45,Navigating Other People's Emotions,https://share.percipio.com/cd/fEbHagwO0,SERVER ERROR (500),env=external. tld=all. HEAD returned 400; confirming with GET. HEAD=400 vs GET=500
46,Choosing the Right Interpersonal Communication Method to Make Your Point,https://share.percipio.com/cd/jEQ9wLXqb,SERVER ERROR (500),env=external. tld=all. HEAD returned 400; confirming with GET. HEAD=400 vs GET=500
47,All other resources,https://gsa.csod.com/GlobalSearch/Search.aspx#q=Interpersonal%20Skills&s=1&a=typ%3D0%26lng%3D1%26dmin%3D0%26dkey%3D1,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
48,Interpersonal Communications,https://ciinternational.com/services/training/,OK (200),env=external. tld=all. Redirected (HEAD) → https://ciinternational.com/learning-development/
49,Interpersonal Skills: Developing Effective Relationships,https://www.managementconcepts.com/course/id/4367,OK (200),env=external. tld=all. Redirected (HEAD) → https://www.managementconcepts.com/product/4367
50,Building Effective Organizational Relationships: An Employee's Rx,https://www.graduateschool.edu/courses/building-effective-organizational-relationships-employees-rx,OK (200),env=external. tld=all. Redirected (HEAD) → https://www.graduateschool.edu/courses/establishing-effective-relationships-with-employees
51,Interpersonal Communications,https://www.graduateschool.edu/courses/interpersonal-communications,OK (200),env=external. tld=all
52,Communication and Professional Skills,https://www.graduateschool.edu/training/curriculum-offerings/communication-professional-skills,OK (200),env=external. tld=all. Redirected (HEAD) → https://www.graduateschool.edu/topics/communication-professional-skills
53,Networking Matters,https://careerstonegroup.com/training-networking-matters.html,OK (200),env=external. tld=all
54,Working with Congress for Federal Executives,https://leadership.opm.gov/programs.aspx?course=164,TIMEOUT,env=external. tld=all. Wall-clock timeout after 8s — server accepted TCP but stalled (likely TLS handshake hang)
55,GSA OLU/Cornerstone General Use of Learning \- Employee,https://gsa.csod.com/ui/lms-learning-details/app/course/5996bedd-bef4-41bf-9c68-4033d2fcbbff,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
56,GSA OLU/Cornerstone General Use of Learning \- Supervisor,https://gsa.csod.com/ui/lms-learning-details/app/course/ecdc61b3-dae7-493e-abe0-b25092b2f0b4,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
57,Government Ethics,https://gsa.csod.com/ui/lms-learning-details/app/course/1ab419ce-b99b-45f3-b3b2-0089724c10ed,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
58,GSA Job Aids,https://gsa.csod.com/GlobalSearch/Search.aspx#q=GSA%20Job%20Aid&s=1&a=,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
59,The Knowledge Manager's Handbook: A Step-by-Step Guide to Embedding Effective Knowledge Management,https://gsa.csod.com/ui/lms-learning-details/app/material/c9c5ecb3-3de9-49c5-8cad-a29561b56a24,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
60,(BOOK) Mapping Workflows and Managing Knowledge: Capturing Formal and Tacit Knowledge to Improve Performance,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/a8a986ef-2b33-5edc-b912-1b72ced23c17,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
61,(BOOK) The New Edge in Knowledge: How Knowledge Management is Changing the Way we Do Business,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/d37d2c23-0fe6-5b00-9cdf-fc71fa2abd1d,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
62,Inclusive Leadership in Action: Addressing DEIA Systemically,https://leadership.opm.gov/programs.aspx?course=329,TIMEOUT,env=external. tld=all. Wall-clock timeout after 8s — server accepted TCP but stalled (likely TLS handshake hang)
63,Executive Development: Leading Change,http://leadership.opm.gov/programs.aspx?c=3,TIMEOUT,env=external. tld=all. Wall-clock timeout after 8s — server accepted TCP but stalled (likely TLS handshake hang)
64,Leadership for a Democratic Society,http://leadership.opm.gov/programs.aspx?c=5,TIMEOUT,env=external. tld=all. Wall-clock timeout after 8s — server accepted TCP but stalled (likely TLS handshake hang)
65,Active Leadership and the Context for Leadership,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/25356144-9f17-5b6c-8955-841653a17cd9,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
66,Leadership Transitions: Moving into Senior Leadership,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/57a19c0c-bad5-5fe0-952d-32aa7455e056,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
67,Women in Leadership: Mastering Key Leadership Competencies,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/509af68b-7422-5bfa-b1fd-170286c7e03d,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
68,(BOOK) Thinkers50 Leadership: Organizational Success through Leadership,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/15229811-286d-5845-a274-6d6d5fec525f,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
69,Advanced Leadership Skills and Techniques,https://www.managementconcepts.com/course/id/4002,OK (200),env=external. tld=all. Redirected (HEAD) → https://www.managementconcepts.com/product/4002
70,Leadership Skills and Techniques,https://www.managementconcepts.com/course/id/4001,OK (200),env=external. tld=all. Redirected (HEAD) → https://www.managementconcepts.com/product/4001
71,Leadership Communication,http://register.graduateschool.edu/modules/shop/index.html?action=section&OfferingID=434,OK (200),env=external. tld=all. Redirected (HEAD) → https://www.graduateschool.edu/modules/shop/index.html?action=section&OfferingID=434. HEAD returned 403 (server may not support HEAD). Redirected (GET) → https://www.graduateschool.edu/courses/leadership-communication. HEAD=403 vs GET=200
72,Coaching Skills for Today's Leaders,http://register.graduateschool.edu/modules/shop/index.html?action=section&OfferingID=226,OK (200),env=external. tld=all. Redirected (HEAD) → https://www.graduateschool.edu/modules/shop/index.html?action=section&OfferingID=226. HEAD returned 403 (server may not support HEAD). Redirected (GET) → https://www.graduateschool.edu/federal-government-training. HEAD=403 vs GET=200
73,Leadership Challenge,http://register.graduateschool.edu/modules/shop/index.html?action=section&OfferingID=381,OK (200),env=external. tld=all. Redirected (HEAD) → https://www.graduateschool.edu/modules/shop/index.html?action=section&OfferingID=381. HEAD returned 403 (server may not support HEAD). Redirected (GET) → https://www.graduateschool.edu/federal-government-training. HEAD=403 vs GET=200
74,Preparing to Lead in the 21st Century,http://register.graduateschool.edu/modules/shop/index.html?action=section&OfferingID=37,FORBIDDEN (403),env=external. tld=all. Redirected (HEAD) → https://www.graduateschool.edu/modules/shop/index.html?action=section&OfferingID=37. HEAD returned 403 (server may not support HEAD)
75,Supervisory Development 1: Fundamentals,http://leadership.opm.gov/programs.aspx?c=124,TIMEOUT,env=external. tld=all. Wall-clock timeout after 8s — server accepted TCP but stalled (likely TLS handshake hang)
76,Supervisory Development 2: Learning to Lead,http://leadership.opm.gov/programs.aspx?c=125,TIMEOUT,env=external. tld=all. Wall-clock timeout after 8s — server accepted TCP but stalled (likely TLS handshake hang)
77,Management Development: Leading from the Middle,http://leadership.opm.gov/programs.aspx?c=118,TIMEOUT,env=external. tld=all. Wall-clock timeout after 8s — server accepted TCP but stalled (likely TLS handshake hang)
78,Management Development: Leading Organizations,http://leadership.opm.gov/programs.aspx?c=121,TIMEOUT,env=external. tld=all. Wall-clock timeout after 8s — server accepted TCP but stalled (likely TLS handshake hang)
79,**All other courses**,https://leadership.opm.gov/search.aspx?k=Management&sortby=2,TIMEOUT,env=external. tld=all. Wall-clock timeout after 8s — server accepted TCP but stalled (likely TLS handshake hang)
80,(CURRICULUM) Hiring Fundamentals for Managers,https://gsa.csod.com/ui/lms-learning-details/app/curriculum/e9978e95-2544-4184-9aff-c9604b1b7344,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
81,(CURRICULUM) GSA Leadership Development for Managers,https://gsa.csod.com/ui/lms-learning-details/app/curriculum/dadc6239-492a-4e06-a1f6-11dc99cdfe34,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
82,Harassment: Bystander Intervention for Managers,https://gsa.csod.com/ui/lms-learning-details/app/course/81f9c46d-1c33-428e-b3d2-e7d8c3270f0f,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
83,(BOOK) Organizational Psychology for Managers,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/b9807cf0-d0f5-5b9c-b9ee-a924e28e0efe,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
84,Leadership Essentials,http://register.graduateschool.edu/modules/shop/index.html?action=section&OfferingID=10,OK (200),env=external. tld=all. Redirected (HEAD) → https://www.graduateschool.edu/modules/shop/index.html?action=section&OfferingID=10. HEAD returned 403 (server may not support HEAD). Redirected (GET) → https://www.graduateschool.edu/federal-government-training. HEAD=403 vs GET=200
85,Introduction to Management,http://register.graduateschool.edu/modules/shop/index.html?action=section&OfferingID=201,FORBIDDEN (403),env=external. tld=all. Redirected (HEAD) → https://www.graduateschool.edu/modules/shop/index.html?action=section&OfferingID=201. HEAD returned 403 (server may not support HEAD)
86,The Power of Influence over Authority,http://register.graduateschool.edu/modules/shop/index.html?action=section&OfferingID=303,OK (200),env=external. tld=all. Redirected (HEAD) → https://www.graduateschool.edu/courses/the-power-of-influence-over-authority
87,Introduction to Supervision,http://register.graduateschool.edu/modules/shop/index.html?action=section&OfferingID=256,OK (200),env=external. tld=all. Redirected (HEAD) → https://www.graduateschool.edu/courses/introduction-to-supervision
88,Leadership Assessment Program Level 1,https://leadership.opm.gov/programs.aspx?course=9,TIMEOUT,env=external. tld=all. Wall-clock timeout after 8s — server accepted TCP but stalled (likely TLS handshake hang)
89,Increasing Influence at Work,https://leadership.opm.gov/programs.aspx?course=351,TIMEOUT,env=external. tld=all. Wall-clock timeout after 8s — server accepted TCP but stalled (likely TLS handshake hang)
90,Leading Hybrid Teams,https://leadership.opm.gov/programs.aspx?course=354,TIMEOUT,env=external. tld=all. Wall-clock timeout after 8s — server accepted TCP but stalled (likely TLS handshake hang)
91,Design in Government: Introduction to Human-Centered Design,https://leadership.opm.gov/programs.aspx?course=234,TIMEOUT,env=external. tld=all. Wall-clock timeout after 8s — server accepted TCP but stalled (likely TLS handshake hang)
92,(CHANNEL) Oral Communication,https://gsa.percipio.com/channels/f1215f10-f91e-11e6-aad2-6b3c03be7fe8?sharelink=bzQEvZ78XEkBa&tab=WATCH,OK (200),env=external. tld=all
93,(ASSESSMENT) Oral Communication,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/03082612-895e-5c7b-8d86-b2efbe4d646ahttps://gsa.csod.com/ui/lms-learning-details/app/onlineContent/03082612-895e-5c7b-8d86-b2efbe4d646a,INVALID URL,env=external. tld=all. Appears to be two concatenated URLs. Second URL starts at position 99
94,Communicating Strategically,https://www.managementconcepts.com/course/id/4320,OK (200),env=external. tld=all. Redirected (HEAD) → https://www.managementconcepts.com/product/4320
95,Adapting to Organizational Change: Enabling 21st Century Leaders,https://leadership.opm.gov/programs.aspx?course=151,TIMEOUT,env=external. tld=all. Wall-clock timeout after 8s — server accepted TCP but stalled (likely TLS handshake hang)
96,Gaining Insight through Organizational Awareness,https://share.percipio.com/cd/Z-o-NmMhi,OK (200),env=external. tld=all. HEAD returned 400; confirming with GET. HEAD=400 vs GET=200
97,Crisis Leadership,https://leadership.opm.gov/programs.aspx?course=43,TIMEOUT,env=external. tld=all. Wall-clock timeout after 8s — server accepted TCP but stalled (likely TLS handshake hang)
98,Organizational and Time Management Skills,https://leadership.opm.gov/programs.aspx?course=285,TIMEOUT,env=external. tld=all. Wall-clock timeout after 8s — server accepted TCP but stalled (likely TLS handshake hang)
99,Senior Executive Leadership Lab: Cyber-Breach\! What Every Senior Executive Needs to Know (and Do) When,https://leadership.opm.gov/programs.aspx?course=225,TIMEOUT,env=external. tld=all. Wall-clock timeout after 8s — server accepted TCP but stalled (likely TLS handshake hang)
100,Solve Problems Using Systems Thinking in the Workplace,https://share.percipio.com/cd/Ag6CTI_g0,SERVER ERROR (500),env=external. tld=all. HEAD returned 400; confirming with GET. HEAD=400 vs GET=500
101,Getting to the Root of the Problem,https://share.percipio.com/cd/7TIXpEDA-,SERVER ERROR (500),env=external. tld=all. HEAD returned 400; confirming with GET. HEAD=400 vs GET=500
102,Leading Through Problem Solving and Decision Making,https://share.percipio.com/cd/mZw7JQf-H,OK (200),env=external. tld=all. HEAD returned 400; confirming with GET. HEAD=400 vs GET=200
103,Problem Solving: Defining and Stating the Problem,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/64fd286c-fe9c-58a9-a189-7931d356702e,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
104,Decision Making and Problem Solving,https://www.graduateschool.edu/courses/decision-making-and-problem-solving,OK (200),env=external. tld=all
105,Critical Thinking and Problem Solving,https://www.bmra.com/professional-development/Critical-Thinking-and-Problem-Solving,NOT FOUND (404),env=external. tld=all. Redirected (HEAD) → https://bmra.com/professional-development/Critical-Thinking-and-Problem-Solving. HEAD returned 404; confirming with GET
106,Managing Conflict and Negotiating Agreement,https://ciinternational.com/services/training,OK (200),env=external. tld=all. Redirected (HEAD) → https://ciinternational.com/learning-development/
107,Foundations of Project Management,https://leadership.opm.gov/programs.aspx?course=47,TIMEOUT,env=external. tld=all. Wall-clock timeout after 8s — server accepted TCP but stalled (likely TLS handshake hang)
108,New Project Manager Essentials,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/12cde938-a644-5281-8212-143e9342a695,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
109,Managing a Project to Minimize Risk and Maximize Quality,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/e13092bf-687e-5031-a6a4-654904faf255,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
110,PMBOK: Strategically Focused Project Management,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/73930094-4f9a-5cb0-80f9-2305a5907e65,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
111,Delivering Project Quality (2021 Update),https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/287025d3-e8c1-5877-b7c0-208571d1d5ac,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
112,PRINCE2 Project Management Overview,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/c1a6ab87-5643-55d3-86a0-6fdacc833bb6,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
113,PMBOK: Quality Methodologies and Standards for Project Management,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/bd78212d-e21f-5e2d-933a-f0e05a62162f,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
114,Applied Leadership in Projects and Programs,https://www.managementconcepts.com/course/id/6886,OK (200),env=external. tld=all. Redirected (HEAD) → https://www.managementconcepts.com/product/6886
115,Project Management Essentials,https://register.graduateschool.edu/modules/shop/index.html?action=section&OfferingID=1015&SectionID=19086&_ga=2.203095697.1653664909.1597668799-1279683641.1597668799,OK (200),env=external. tld=all. Redirected (HEAD) → https://www.graduateschool.edu/federal-government-training
116,Managing IT Projects,https://bmra.com/course-item/fpm-511-managing-it-projects/,OK (200),env=external. tld=all
117,Introduction to Agile Project Management,https://register.graduateschool.edu/modules/shop/index.html?action=section&OfferingID=942&SectionID=18942&_ga=2.194722349.1653664909.1597668799-1279683641.1597668799,OK (200),env=external. tld=all. Redirected (HEAD) → https://www.graduateschool.edu/federal-government-training
118,Project Management Principles,https://www.managementconcepts.com/course/id/6100,OK (200),env=external. tld=all. Redirected (HEAD) → https://www.managementconcepts.com/product/6100
119,FHRI SS230: Workforce Planning Basics,https://leadership.opm.gov/programs.aspx?course=278,TIMEOUT,env=external. tld=all. Wall-clock timeout after 8s — server accepted TCP but stalled (likely TLS handshake hang)
120,(BOOK) Competency-Based Human Resource Management,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/e81084d3-0383-5894-9af7-611063b21841,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
121,(CHANNEL) Human Capital Management,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/108f93fc-7721-5f93-87be-c8931d5684b5,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
122,Executive Development: Leading Change,https://leadership.opm.gov/programs.aspx?course=3,TIMEOUT,env=external. tld=all. Wall-clock timeout after 8s — server accepted TCP but stalled (likely TLS handshake hang)
123,Stakeholder Engagement,https://share.percipio.com/cd/2_cWTDp-7,OK (200),env=external. tld=all. HEAD returned 400; confirming with GET. HEAD=400 vs GET=200
124,Managing & Engaging Stakeholders,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/ea8234c6-5054-5917-aec1-1d69aadb392f,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
125,Effective Stakeholder Communications for IT Professionals,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/2ba1bc2b-66ac-50ad-8c1f-88921caf9785,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
126,Agile Stakeholder Engagement and Team Development,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/2dae32cf-50ba-508d-a10d-96641c66a06c,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
127,Stakeholder Communication: Software Projects & Stakeholder Communication,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/3d5c9804-9384-52b1-943e-c05c17ebe921,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
128,Managing Stakeholder Expectations and Relationships,https://www.managementconcepts.com/course/id/6162,OK (200),env=external. tld=all. Redirected (HEAD) → https://www.managementconcepts.com/product/6162
129,Process Improvement: Data-Driven Root Cause Analysis,https://leadership.opm.gov/programs.aspx?course=359,TIMEOUT,env=external. tld=all. Wall-clock timeout after 8s — server accepted TCP but stalled (likely TLS handshake hang)
130,Leadership Competencies: Applying the ECQs,https://leadership.opm.gov/programs.aspx?course=8,TIMEOUT,env=external. tld=all. Wall-clock timeout after 8s — server accepted TCP but stalled (likely TLS handshake hang)
131,Process Improvement: Managing & Mitigating Risks,https://leadership.opm.gov/programs.aspx?course=358,TIMEOUT,env=external. tld=all. Wall-clock timeout after 8s — server accepted TCP but stalled (likely TLS handshake hang)
